id,treatment,sample_size,median,test,type1_error_rate,type2_error_rate
0,control,10,1,sign,0.0000,0.0000
1,control,10,1,wilcoxon,0.0000,0.0000
2,control,10,1,student,0.0000,0.0000
3,uniform,10,4,sign,0.0000,0.0000
4,uniform,10,4,wilcoxon,0.0000,0.0000
5,uniform,10,4,student,0.0000,0.0000
6,asymmetric,10,4,sign,0.0000,0.0000
7,asymmetric,10,4,wilcoxon,0.0000,0.0000
8,asymmetric,10,4,student,0.0000,0.0000
9,bimodal,10,4,sign,0.0000,0.0000
10,bimodal,10,4,wilcoxon,0.0000,0.0000
11,bimodal,10,4,student,0.0000,0.0000
12,dependent,10,4,sign,0.0000,0.0000
13,dependent,10,4,wilcoxon,0.0000,0.0000
14,dependent,10,4,student,0.0000,0.0000
15,control,30,4,sign,0.0000,0.0000
16,control,30,4,wilcoxon,0.0000,0.0000
17,control,30,4,student,0.0000,0.0000
18,uniform,30,4,sign,0.0000,0.0000
19,uniform,30,4,wilcoxon,0.0000,0.0000
20,uniform,30,4,student,0.0000,0.0000
21,asymmetric,30,4,sign,0.0000,0.0000
22,asymmetric,30,4,wilcoxon,0.0000,0.0000
23,asymmetric,30,4,student,0.0000,0.0000
24,bimodal,30,4,sign,0.0000,0.0000
25,bimodal,30,4,wilcoxon,0.0000,0.0000
26,bimodal,30,4,student,0.0000,0.0000
27,dependent,30,4,sign,0.0000,0.0000
28,dependent,30,4,wilcoxon,0.0000,0.0000
29,dependent,30,4,student,0.0000,0.0000
30,control,100,4,sign,0.0000,0.0000
31,control,100,4,wilcoxon,0.0000,0.0000
32,control,100,4,student,0.0000,0.0000
33,uniform,100,4,sign,0.0000,0.0000
34,uniform,100,4,wilcoxon,0.0000,0.0000
35,uniform,100,4,student,0.0000,0.0000
36,asymmetric,100,4,sign,0.0000,0.0000
37,asymmetric,100,4,wilcoxon,0.0000,0.0000
38,asymmetric,100,4,student,0.0000,0.0000
39,bimodal,100,4,sign,0.0000,0.0000
40,bimodal,100,4,wilcoxon,0.0000,0.0000
41,bimodal,100,4,student,0.0000,0.0000
42,dependent,100,4,sign,0.0000,0.0000
43,dependent,100,4,wilcoxon,0.0000,0.0000
44,dependent,100,4,student,0.0000,0.0000
45,control,10,2,sign,0.0000,0.0000
46,control,10,2,wilcoxon,0.0000,0.0000
47,control,10,2,student,0.0000,0.0000
48,uniform,10,4,sign,0.0000,0.0000
49,uniform,10,4,wilcoxon,0.0000,0.0000
50,uniform,10,4,student,0.0000,0.0000
51,asymmetric,10,4,sign,0.0000,0.0000
52,asymmetric,10,4,wilcoxon,0.0000,0.0000
53,asymmetric,10,4,student,0.0000,0.0000
54,bimodal,10,4,sign,0.0000,0.0000
55,bimodal,10,4,wilcoxon,0.0000,0.0000
56,bimodal,10,4,student,0.0000,0.0000
57,dependent,10,4,sign,0.0000,0.0000
58,dependent,10,4,wilcoxon,0.0000,0.0000
59,dependent,10,4,student,0.0000,0.0000
60,control,30,4,sign,0.0000,0.0000
61,control,30,4,wilcoxon,0.0000,0.0000
62,control,30,4,student,0.0000,0.0000
63,uniform,30,4,sign,0.0000,0.0000
64,uniform,30,4,wilcoxon,0.0000,0.0000
65,uniform,30,4,student,0.0000,0.0000
