id,treatment,sample_size,median1,median2,rho,test,type1_error_rate,type2_error_rate
0,control,10,3,3,0.0,paired-student,0.0600,0.0000
1,control,10,3,3,0.0,wilcoxon,0.0600,0.0000
2,control,10,3,3,0.0,student,0.0500,0.0000
3,control,10,3,3,0.0,mann-whitney,0.0600,0.0000
4,uniform,10,3,3,0.0,paired-student,0.0400,0.0000
5,uniform,10,3,3,0.0,wilcoxon,0.0400,0.0000
6,uniform,10,3,3,0.0,student,0.0400,0.0000
7,uniform,10,3,3,0.0,mann-whitney,0.0300,0.0000
8,asymmetric,10,3,3,0.0,paired-student,0.0700,0.0000
9,asymmetric,10,3,3,0.0,wilcoxon,0.0700,0.0000
10,asymmetric,10,3,3,0.0,student,0.0600,0.0000
11,asymmetric,10,3,3,0.0,mann-whitney,0.0400,0.0000
12,bimodal,10,3,3,0.0,paired-student,0.0600,0.0000
13,bimodal,10,3,3,0.0,wilcoxon,0.0500,0.0000
14,bimodal,10,3,3,0.0,student,0.0600,0.0000
15,bimodal,10,3,3,0.0,mann-whitney,0.0500,0.0000
16,dependent,10,3,3,0.0,paired-student,0.0200,0.0000
17,dependent,10,3,3,0.0,wilcoxon,0.0200,0.0000
18,dependent,10,3,3,0.0,student,0.0200,0.0000
19,dependent,10,3,3,0.0,mann-whitney,0.0200,0.0000
20,dependent,10,3,3,0.1,paired-student,0.1000,0.0000
21,dependent,10,3,3,0.1,wilcoxon,0.1000,0.0000
22,dependent,10,3,3,0.1,student,0.0600,0.0000
23,dependent,10,3,3,0.1,mann-whitney,0.0400,0.0000
24,dependent,10,3,3,0.5,paired-student,0.0600,0.0000
25,dependent,10,3,3,0.5,wilcoxon,0.0600,0.0000
26,dependent,10,3,3,0.5,student,0.0100,0.0000
27,dependent,10,3,3,0.5,mann-whitney,0.0100,0.0000
28,dependent,10,3,3,0.8,paired-student,0.0400,0.0000
29,dependent,10,3,3,0.8,wilcoxon,0.0400,0.0000
30,dependent,10,3,3,0.8,student,0.0000,0.0000
31,dependent,10,3,3,0.8,mann-whitney,0.0000,0.0000
32,control,30,3,3,0.0,paired-student,0.0600,0.0000
33,control,30,3,3,0.0,wilcoxon,0.0500,0.0000
34,control,30,3,3,0.0,student,0.0700,0.0000
35,control,30,3,3,0.0,mann-whitney,0.0500,0.0000
36,uniform,30,3,3,0.0,paired-student,0.0700,0.0000
37,uniform,30,3,3,0.0,wilcoxon,0.0600,0.0000
38,uniform,30,3,3,0.0,student,0.0600,0.0000
39,uniform,30,3,3,0.0,mann-whitney,0.0500,0.0000
40,asymmetric,30,3,3,0.0,paired-student,0.0400,0.0000
41,asymmetric,30,3,3,0.0,wilcoxon,0.0500,0.0000
42,asymmetric,30,3,3,0.0,student,0.0400,0.0000
43,asymmetric,30,3,3,0.0,mann-whitney,0.0400,0.0000
44,bimodal,30,3,3,0.0,paired-student,0.0200,0.0000
45,bimodal,30,3,3,0.0,wilcoxon,0.0300,0.0000
46,bimodal,30,3,3,0.0,student,0.0300,0.0000
47,bimodal,30,3,3,0.0,mann-whitney,0.0200,0.0000
48,dependent,30,3,3,0.0,paired-student,0.0200,0.0000
49,dependent,30,3,3,0.0,wilcoxon,0.0400,0.0000
50,dependent,30,3,3,0.0,student,0.0400,0.0000
51,dependent,30,3,3,0.0,mann-whitney,0.0400,0.0000
52,dependent,30,3,3,0.1,paired-student,0.0200,0.0000
53,dependent,30,3,3,0.1,wilcoxon,0.0200,0.0000
54,dependent,30,3,3,0.1,student,0.0100,0.0000
55,dependent,30,3,3,0.1,mann-whitney,0.0100,0.0000
56,dependent,30,3,3,0.5,paired-student,0.0600,0.0000
57,dependent,30,3,3,0.5,wilcoxon,0.0500,0.0000
58,dependent,30,3,3,0.5,student,0.0200,0.0000
59,dependent,30,3,3,0.5,mann-whitney,0.0300,0.0000
60,dependent,30,3,3,0.8,paired-student,0.0600,0.0000
61,dependent,30,3,3,0.8,wilcoxon,0.0600,0.0000
62,dependent,30,3,3,0.8,student,0.0000,0.0000
63,dependent,30,3,3,0.8,mann-whitney,0.0000,0.0000
64,control,100,3,3,0.0,paired-student,0.0400,0.0000
65,control,100,3,3,0.0,wilcoxon,0.0400,0.0000
66,control,100,3,3,0.0,student,0.0500,0.0000
67,control,100,3,3,0.0,mann-whitney,0.0400,0.0000
68,uniform,100,3,3,0.0,paired-student,0.0400,0.0000
69,uniform,100,3,3,0.0,wilcoxon,0.0400,0.0000
70,uniform,100,3,3,0.0,student,0.0400,0.0000
71,uniform,100,3,3,0.0,mann-whitney,0.0400,0.0000
72,asymmetric,100,3,3,0.0,paired-student,0.0300,0.0000
73,asymmetric,100,3,3,0.0,wilcoxon,0.0300,0.0000
74,asymmetric,100,3,3,0.0,student,0.0400,0.0000
75,asymmetric,100,3,3,0.0,mann-whitney,0.0400,0.0000
76,bimodal,100,3,3,0.0,paired-student,0.0100,0.0000
77,bimodal,100,3,3,0.0,wilcoxon,0.0100,0.0000
78,bimodal,100,3,3,0.0,student,0.0300,0.0000
79,bimodal,100,3,3,0.0,mann-whitney,0.0300,0.0000
80,dependent,100,3,3,0.0,paired-student,0.0700,0.0000
81,dependent,100,3,3,0.0,wilcoxon,0.0700,0.0000
82,dependent,100,3,3,0.0,student,0.0800,0.0000
83,dependent,100,3,3,0.0,mann-whitney,0.0700,0.0000
84,dependent,100,3,3,0.1,paired-student,0.0500,0.0000
85,dependent,100,3,3,0.1,wilcoxon,0.0500,0.0000
86,dependent,100,3,3,0.1,student,0.0400,0.0000
87,dependent,100,3,3,0.1,mann-whitney,0.0400,0.0000
88,dependent,100,3,3,0.5,paired-student,0.0400,0.0000
89,dependent,100,3,3,0.5,wilcoxon,0.0300,0.0000
90,dependent,100,3,3,0.5,student,0.0000,0.0000
91,dependent,100,3,3,0.5,mann-whitney,0.0000,0.0000
92,dependent,100,3,3,0.8,paired-student,0.0700,0.0000
93,dependent,100,3,3,0.8,wilcoxon,0.0700,0.0000
94,dependent,100,3,3,0.8,student,0.0100,0.0000
95,dependent,100,3,3,0.8,mann-whitney,0.0100,0.0000
96,control,10,6,5,0.0,paired-student,0.0000,0.4600
97,control,10,6,5,0.0,wilcoxon,0.0000,0.4700
98,control,10,6,5,0.0,student,0.0000,0.4000
99,control,10,6,5,0.0,mann-whitney,0.0000,0.4600
100,uniform,10,6,5,0.0,paired-student,0.0000,0.9800
101,uniform,10,6,5,0.0,wilcoxon,0.0000,0.9700
102,uniform,10,6,5,0.0,student,0.0000,0.9700
103,uniform,10,6,5,0.0,mann-whitney,0.0000,0.9800
104,asymmetric,10,6,5,0.0,paired-student,0.0000,0.4800
105,asymmetric,10,6,5,0.0,wilcoxon,0.0000,0.4800
106,asymmetric,10,6,5,0.0,student,0.0000,0.4400
107,asymmetric,10,6,5,0.0,mann-whitney,0.0000,0.4800
108,bimodal,10,6,5,0.0,paired-student,0.0000,0.9900
109,bimodal,10,6,5,0.0,wilcoxon,0.0000,1.0000
110,bimodal,10,6,5,0.0,student,0.0000,0.9900
111,bimodal,10,6,5,0.0,mann-whitney,0.0000,0.9800
112,dependent,10,6,5,0.0,paired-student,0.0000,0.3700
113,dependent,10,6,5,0.0,wilcoxon,0.0000,0.3800
114,dependent,10,6,5,0.0,student,0.0000,0.3600
115,dependent,10,6,5,0.0,mann-whitney,0.0000,0.4000
116,dependent,10,6,5,0.1,paired-student,0.0000,0.2700
117,dependent,10,6,5,0.1,wilcoxon,0.0000,0.2800
118,dependent,10,6,5,0.1,student,0.0000,0.2500
119,dependent,10,6,5,0.1,mann-whitney,0.0000,0.2700
120,dependent,10,6,5,0.5,paired-student,0.0000,0.1000
121,dependent,10,6,5,0.5,wilcoxon,0.0000,0.1100
122,dependent,10,6,5,0.5,student,0.0000,0.2600
123,dependent,10,6,5,0.5,mann-whitney,0.0000,0.3000
124,dependent,10,6,5,0.8,paired-student,0.0000,0.0200
125,dependent,10,6,5,0.8,wilcoxon,0.0000,0.0200
126,dependent,10,6,5,0.8,student,0.0000,0.2700
127,dependent,10,6,5,0.8,mann-whitney,0.0000,0.2900
128,control,30,6,5,0.0,paired-student,0.0000,0.0100
129,control,30,6,5,0.0,wilcoxon,0.0000,0.0000
130,control,30,6,5,0.0,student,0.0000,0.0100
131,control,30,6,5,0.0,mann-whitney,0.0000,0.0300
132,uniform,30,6,5,0.0,paired-student,0.0000,0.9600
133,uniform,30,6,5,0.0,wilcoxon,0.0000,0.9600
134,uniform,30,6,5,0.0,student,0.0000,0.9600
135,uniform,30,6,5,0.0,mann-whitney,0.0000,0.9600
136,asymmetric,30,6,5,0.0,paired-student,0.0000,0.0200
137,asymmetric,30,6,5,0.0,wilcoxon,0.0000,0.0400
138,asymmetric,30,6,5,0.0,student,0.0000,0.0200
139,asymmetric,30,6,5,0.0,mann-whitney,0.0000,0.0200
140,bimodal,30,6,5,0.0,paired-student,0.0000,0.9300
141,bimodal,30,6,5,0.0,wilcoxon,0.0000,0.9300
142,bimodal,30,6,5,0.0,student,0.0000,0.9300
143,bimodal,30,6,5,0.0,mann-whitney,0.0000,0.9500
144,dependent,30,6,5,0.0,paired-student,0.0000,0.0500
145,dependent,30,6,5,0.0,wilcoxon,0.0000,0.0500
146,dependent,30,6,5,0.0,student,0.0000,0.0300
147,dependent,30,6,5,0.0,mann-whitney,0.0000,0.0400
148,dependent,30,6,5,0.1,paired-student,0.0000,0.0200
149,dependent,30,6,5,0.1,wilcoxon,0.0000,0.0300
150,dependent,30,6,5,0.1,student,0.0000,0.0200
151,dependent,30,6,5,0.1,mann-whitney,0.0000,0.0300
152,dependent,30,6,5,0.5,paired-student,0.0000,0.0000
153,dependent,30,6,5,0.5,wilcoxon,0.0000,0.0000
154,dependent,30,6,5,0.5,student,0.0000,0.0000
155,dependent,30,6,5,0.5,mann-whitney,0.0000,0.0000
156,dependent,30,6,5,0.8,paired-student,0.0000,0.0000
157,dependent,30,6,5,0.8,wilcoxon,0.0000,0.0000
158,dependent,30,6,5,0.8,student,0.0000,0.0000
159,dependent,30,6,5,0.8,mann-whitney,0.0000,0.0000
160,control,100,6,5,0.0,paired-student,0.0000,0.0000
161,control,100,6,5,0.0,wilcoxon,0.0000,0.0000
162,control,100,6,5,0.0,student,0.0000,0.0000
163,control,100,6,5,0.0,mann-whitney,0.0000,0.0000
164,uniform,100,6,5,0.0,paired-student,0.0000,0.9400
165,uniform,100,6,5,0.0,wilcoxon,0.0000,0.9500
166,uniform,100,6,5,0.0,student,0.0000,0.9400
167,uniform,100,6,5,0.0,mann-whitney,0.0000,0.9400
168,asymmetric,100,6,5,0.0,paired-student,0.0000,0.0000
169,asymmetric,100,6,5,0.0,wilcoxon,0.0000,0.0000
170,asymmetric,100,6,5,0.0,student,0.0000,0.0000
171,asymmetric,100,6,5,0.0,mann-whitney,0.0000,0.0000
172,bimodal,100,6,5,0.0,paired-student,0.0000,0.9500
173,bimodal,100,6,5,0.0,wilcoxon,0.0000,0.9500
174,bimodal,100,6,5,0.0,student,0.0000,0.9500
175,bimodal,100,6,5,0.0,mann-whitney,0.0000,0.9500
176,dependent,100,6,5,0.0,paired-student,0.0000,0.0000
177,dependent,100,6,5,0.0,wilcoxon,0.0000,0.0000
178,dependent,100,6,5,0.0,student,0.0000,0.0000
179,dependent,100,6,5,0.0,mann-whitney,0.0000,0.0000
180,dependent,100,6,5,0.1,paired-student,0.0000,0.0000
181,dependent,100,6,5,0.1,wilcoxon,0.0000,0.0000
182,dependent,100,6,5,0.1,student,0.0000,0.0000
183,dependent,100,6,5,0.1,mann-whitney,0.0000,0.0000
184,dependent,100,6,5,0.5,paired-student,0.0000,0.0000
185,dependent,100,6,5,0.5,wilcoxon,0.0000,0.0000
186,dependent,100,6,5,0.5,student,0.0000,0.0000
187,dependent,100,6,5,0.5,mann-whitney,0.0000,0.0000
188,dependent,100,6,5,0.8,paired-student,0.0000,0.0000
189,dependent,100,6,5,0.8,wilcoxon,0.0000,0.0000
190,dependent,100,6,5,0.8,student,0.0000,0.0000
191,dependent,100,6,5,0.8,mann-whitney,0.0000,0.0000
192,control,10,6,4,0.0,paired-student,0.0000,0.0000
193,control,10,6,4,0.0,wilcoxon,0.0000,0.0000
194,control,10,6,4,0.0,student,0.0000,0.0000
195,control,10,6,4,0.0,mann-whitney,0.0000,0.0000
196,uniform,10,6,4,0.0,paired-student,0.0000,0.9300
197,uniform,10,6,4,0.0,wilcoxon,0.0000,0.9400
198,uniform,10,6,4,0.0,student,0.0000,0.9300
199,uniform,10,6,4,0.0,mann-whitney,0.0000,0.9300
200,asymmetric,10,6,4,0.0,paired-student,0.0000,0.0200
201,asymmetric,10,6,4,0.0,wilcoxon,0.0000,0.0200
202,asymmetric,10,6,4,0.0,student,0.0000,0.0200
203,asymmetric,10,6,4,0.0,mann-whitney,0.0000,0.0300
204,bimodal,10,6,4,0.0,paired-student,0.0000,0.9400
205,bimodal,10,6,4,0.0,wilcoxon,0.0000,0.9400
206,bimodal,10,6,4,0.0,student,0.0000,0.9200
207,bimodal,10,6,4,0.0,mann-whitney,0.0000,0.9200
208,dependent,10,6,4,0.0,paired-student,0.0000,0.0300
209,dependent,10,6,4,0.0,wilcoxon,0.0000,0.0300
210,dependent,10,6,4,0.0,student,0.0000,0.0300
211,dependent,10,6,4,0.0,mann-whitney,0.0000,0.0500
212,dependent,10,6,4,0.1,paired-student,0.0000,0.0000
213,dependent,10,6,4,0.1,wilcoxon,0.0000,0.0000
214,dependent,10,6,4,0.1,student,0.0000,0.0000
215,dependent,10,6,4,0.1,mann-whitney,0.0000,0.0000
216,dependent,10,6,4,0.5,paired-student,0.0000,0.0000
217,dependent,10,6,4,0.5,wilcoxon,0.0000,0.0000
218,dependent,10,6,4,0.5,student,0.0000,0.0000
219,dependent,10,6,4,0.5,mann-whitney,0.0000,0.0000
220,dependent,10,6,4,0.8,paired-student,0.0000,0.0000
221,dependent,10,6,4,0.8,wilcoxon,0.0000,0.0000
222,dependent,10,6,4,0.8,student,0.0000,0.0000
223,dependent,10,6,4,0.8,mann-whitney,0.0000,0.0000
224,control,30,6,4,0.0,paired-student,0.0000,0.0000
225,control,30,6,4,0.0,wilcoxon,0.0000,0.0000
226,control,30,6,4,0.0,student,0.0000,0.0000
227,control,30,6,4,0.0,mann-whitney,0.0000,0.0000
228,uniform,30,6,4,0.0,paired-student,0.0000,0.9500
229,uniform,30,6,4,0.0,wilcoxon,0.0000,0.9400
230,uniform,30,6,4,0.0,student,0.0000,0.9400
231,uniform,30,6,4,0.0,mann-whitney,0.0000,0.9500
232,asymmetric,30,6,4,0.0,paired-student,0.0000,0.0000
233,asymmetric,30,6,4,0.0,wilcoxon,0.0000,0.0000
234,asymmetric,30,6,4,0.0,student,0.0000,0.0000
235,asymmetric,30,6,4,0.0,mann-whitney,0.0000,0.0000
236,bimodal,30,6,4,0.0,paired-student,0.0000,0.8800
237,bimodal,30,6,4,0.0,wilcoxon,0.0000,0.8700
238,bimodal,30,6,4,0.0,student,0.0000,0.8900
239,bimodal,30,6,4,0.0,mann-whitney,0.0000,0.8900
240,dependent,30,6,4,0.0,paired-student,0.0000,0.0000
241,dependent,30,6,4,0.0,wilcoxon,0.0000,0.0000
242,dependent,30,6,4,0.0,student,0.0000,0.0000
243,dependent,30,6,4,0.0,mann-whitney,0.0000,0.0000
244,dependent,30,6,4,0.1,paired-student,0.0000,0.0000
245,dependent,30,6,4,0.1,wilcoxon,0.0000,0.0000
246,dependent,30,6,4,0.1,student,0.0000,0.0000
